user_id,archetype,secondary_archetype,secondary_archetype_weight,danger_preference,luxury_preference,novelty_preference,historical_preference,technology_preference,nature_preference,fantasy_preference,space_preference,power_preference,budget_log10,budget_tier,price_sensitivity,popularity_preference,exploration_tendency,impulsiveness,activity_level,activity_tier,catalog_version,user_generation_version,generation_seed,created_at
synthetic-user-v1-000014,Nature Explorer,Power Seeker,0.3144,0.5248,0.008,0.399,0.3561,0.7891,0.6655,0.2711,0.1554,0.5215,12.4681,medium,0.4353,0.2192,0.8418,0.287,0.5329,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:13Z
synthetic-user-v1-000015,Fantasy Lover,,0.0,0.4334,0.4671,0.5743,0.3114,0.2379,0.1303,0.705,0.0629,0.4404,7.321,low,0.3201,0.2992,0.7461,0.5604,0.4362,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:14Z
synthetic-user-v1-000016,Tech Futurist,Power Seeker,0.2351,0.4556,0.7238,0.8712,0.5743,0.7597,0.5862,0.2794,0.4499,0.9947,7.5981,low,0.4863,0.4463,0.9862,0.8699,0.6571,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:15Z
synthetic-user-v1-000017,Power Seeker,History Collector,0.372,0.49,0.2008,0.8784,0.5698,0.2837,0.6611,0.6844,0.3829,0.5276,19.7569,high,0.0776,0.8678,0.0461,0.8334,0.5381,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:16Z
synthetic-user-v1-000018,Curious Generalist,Thrill Seeker,0.2656,0.6718,0.3228,0.5045,0.349,0.375,0.4838,0.2707,0.4897,0.6284,24.1822,absurd,0.6536,0.6378,0.4964,0.4336,0.6884,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:17Z
synthetic-user-v1-000019,Fantasy Lover,,0.0,0.7847,0.4827,0.5139,0.4268,0.3012,0.0305,0.6995,0.0694,0.3971,7.2853,low,0.7358,0.5599,0.8511,0.5865,0.4788,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:18Z
synthetic-user-v1-000020,Space Enthusiast,,0.0,0.6513,0.3283,0.9751,0.3453,0.6154,0.432,0.7647,1.0,0.486,22.2372,ultra_high,0.0963,0.2117,0.774,0.5063,0.6377,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:19Z
synthetic-user-v1-000021,History Collector,,0.0,0.405,0.5745,0.6178,0.7017,0.0891,0.3487,0.4094,0.5145,0.6018,12.5795,medium,1.0,0.6537,0.3624,0.339,0.3517,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:20Z
synthetic-user-v1-000022,Power Seeker,,0.0,0.5963,0.7219,0.751,0.531,0.3429,0.545,0.5624,0.557,0.9996,19.3216,high,0.1293,0.7345,0.2658,0.5982,0.6927,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:21Z
synthetic-user-v1-000023,Space Enthusiast,Curious Generalist,0.3454,0.6971,0.4223,0.6122,0.6461,1.0,0.6231,0.5021,0.5906,0.7629,23.472,ultra_high,0.5613,0.5353,0.7117,0.6464,0.2083,casual,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:22Z
synthetic-user-v1-000024,Tech Futurist,,0.0,0.6395,0.5431,0.5977,0.2405,0.7932,0.1304,0.3941,0.4911,0.564,9.534,low,0.129,0.4957,0.2991,0.7081,0.3152,casual,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:23Z
synthetic-user-v1-000025,Nature Explorer,,0.0,0.5354,0.2373,0.6023,0.3426,0.233,0.9934,0.5335,0.2799,0.4309,12.7112,medium,0.7132,0.3441,0.5463,0.4281,0.7545,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:24Z
synthetic-user-v1-000026,Tech Futurist,,0.0,0.5211,0.3594,0.66,0.0744,1.0,0.4564,0.3393,0.5149,0.6138,12.3917,medium,0.6699,0.7398,0.7564,0.7196,0.7715,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:25Z
synthetic-user-v1-000027,Nature Explorer,,0.0,0.34,0.5449,0.717,0.5654,0.3053,1.0,0.0465,0.2479,0.3269,9.3858,low,0.5191,0.1985,0.4883,0.5372,0.3588,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:26Z
synthetic-user-v1-000028,Tech Futurist,,0.0,0.5031,0.7111,0.6796,0.3872,0.9508,0.2666,0.3492,0.4458,0.2132,16.0927,high,0.3412,0.7489,0.7255,0.6744,0.7407,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:27Z
synthetic-user-v1-000029,Space Enthusiast,,0.0,0.701,0.4825,0.7892,0.3177,0.6614,0.4489,0.5009,0.9449,0.3858,22.3842,ultra_high,0.488,0.4149,0.6072,0.681,0.4624,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:28Z
synthetic-user-v1-000030,Power Seeker,,0.0,0.8246,0.4846,0.6169,0.565,1.0,0.5219,0.5865,0.6973,0.788,18.7204,high,0.4625,0.8245,0.3442,0.7644,0.5018,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:29Z
synthetic-user-v1-000031,Nature Explorer,,0.0,0.4855,0.5831,0.5463,0.3498,0.0698,1.0,0.1365,0.4193,0.6224,13.7218,medium,0.6931,0.2552,0.6052,0.0,0.4245,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:30Z
synthetic-user-v1-000032,Thrill Seeker,Power Seeker,0.3664,1.0,0.5535,0.6702,0.4455,0.4066,0.3814,0.377,0.2926,0.8816,10.0601,low,0.3917,0.6473,0.9021,0.9769,0.8371,heavy,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:31Z
synthetic-user-v1-000033,Power Seeker,,0.0,0.5192,0.8293,0.7634,0.2132,0.5578,0.5097,0.6207,0.6455,0.895,14.1292,medium,0.5934,0.3786,0.4411,0.7335,0.787,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:32Z
synthetic-user-v1-000034,Tech Futurist,,0.0,0.3057,0.3711,0.6604,0.1232,0.6446,0.2362,0.3344,0.6272,0.7119,12.2166,medium,0.7021,0.684,0.5669,0.7337,0.7564,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:33Z
synthetic-user-v1-000035,Thrill Seeker,Tech Futurist,0.2153,0.9929,0.2175,0.5994,0.2006,0.3661,0.5983,0.5198,0.0707,0.4492,13.1977,medium,0.1435,0.3583,0.7557,0.9065,0.6083,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:34Z
synthetic-user-v1-000036,Space Enthusiast,,0.0,0.5284,0.4197,0.9309,0.2816,0.6572,0.5024,0.5217,0.6793,0.6523,22.072,ultra_high,0.38,0.7606,0.4919,0.6794,0.7161,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:35Z
synthetic-user-v1-000037,Nature Explorer,,0.0,0.4245,0.3328,0.8197,0.6148,0.2254,1.0,0.1071,0.0601,0.6008,10.5691,low,0.5579,0.0732,1.0,0.3165,0.5037,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:36Z
synthetic-user-v1-000038,Fantasy Lover,,0.0,0.3987,0.6874,0.6677,0.2775,0.5483,0.4521,0.6502,0.4448,0.4494,10.5521,low,0.3288,0.37,0.5496,0.7149,0.3278,casual,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:37Z
synthetic-user-v1-000039,Curious Generalist,Tech Futurist,0.2683,0.5052,0.4395,0.7477,0.4744,0.5339,0.7386,0.2814,0.4677,0.5529,10.8408,low,0.2195,0.371,0.506,0.5515,0.3566,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:38Z
synthetic-user-v1-000040,History Collector,,0.0,0.4633,0.4354,0.2762,0.8714,0.293,0.3321,0.5721,0.4557,0.5083,16.5789,high,0.6741,0.5624,0.688,0.2349,0.125,casual,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:39Z
synthetic-user-v1-000041,Curious Generalist,,0.0,0.583,0.7562,0.4642,0.4462,0.5538,0.2544,0.3434,0.477,0.5961,16.2045,high,0.3141,0.7451,0.7363,0.1579,0.2606,casual,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:40Z
synthetic-user-v1-000042,Eclectic Browser,,0.0,0.8502,0.4178,0.6918,0.5617,0.6076,0.3876,0.6601,0.5842,0.5087,19.6754,high,0.7884,0.2044,0.6644,0.6824,0.4832,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:41Z
synthetic-user-v1-000043,Power Seeker,,0.0,0.6202,0.6633,0.6623,0.6184,0.7559,0.5678,0.5041,0.5173,1.0,20.0969,ultra_high,0.3617,0.6912,0.2278,0.3945,0.3156,casual,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:42Z
synthetic-user-v1-000044,Eclectic Browser,Tech Futurist,0.367,0.3127,0.2835,0.6405,0.3558,0.6603,0.4388,0.6582,0.6801,0.645,15.9031,high,0.7763,0.7306,0.7931,0.5592,0.4686,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:43Z
synthetic-user-v1-000045,Tech Futurist,,0.0,0.4845,0.669,0.5505,0.4451,0.8798,0.4658,0.3653,0.4119,0.6991,12.8219,medium,0.4531,0.8382,0.6232,0.3559,0.4087,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:44Z
synthetic-user-v1-000046,Power Seeker,,0.0,0.7845,0.7415,0.6255,0.7606,0.5787,0.2741,0.7652,0.2496,0.6817,18.2493,high,0.5296,0.7422,0.4734,0.6057,0.4889,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:45Z
synthetic-user-v1-000047,Eclectic Browser,,0.0,0.3394,0.5544,0.5022,0.2648,0.8154,0.6769,0.4713,0.585,0.6727,15.5439,high,0.5751,0.0,0.7678,0.4327,1.0,heavy,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:46Z
synthetic-user-v1-000048,Eclectic Browser,,0.0,0.5473,0.5544,0.8402,0.5418,0.2453,0.5294,0.6718,0.3232,0.8176,14.7325,medium,0.072,0.7974,0.6089,0.5856,0.2785,casual,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:47Z
synthetic-user-v1-000049,Fantasy Lover,,0.0,0.2645,0.5253,0.7107,0.4158,0.1121,0.1815,0.7349,0.2803,0.8862,14.1273,medium,0.692,0.2737,0.7833,0.535,0.445,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:48Z
synthetic-user-v1-000050,Curious Generalist,,0.0,0.5378,0.189,1.0,0.4512,0.9623,0.5898,0.4897,0.3813,0.4244,15.9279,high,0.6509,0.5208,0.4252,0.2618,0.2924,casual,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:49Z
synthetic-user-v1-000051,History Collector,Eclectic Browser,0.2472,0.3366,0.5155,0.6035,0.7683,0.4941,0.661,0.315,0.4423,0.6321,17.2585,high,0.7825,0.348,0.8302,0.4366,0.3351,casual,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:50Z
synthetic-user-v1-000052,Thrill Seeker,,0.0,0.8866,0.4886,0.6986,0.359,0.2334,0.6686,0.6547,0.1797,0.2047,11.999,medium,0.3845,0.5097,0.5989,0.1511,0.7925,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:51Z
synthetic-user-v1-000053,Curious Generalist,,0.0,0.9601,0.4349,0.4958,0.3012,0.394,0.4891,0.4811,0.5691,0.4776,9.9928,low,0.7099,0.6342,1.0,0.5184,0.6283,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:52Z
synthetic-user-v1-000054,Eclectic Browser,,0.0,0.4665,0.3662,0.8599,0.0328,0.6529,0.7978,0.8419,0.6977,0.6347,14.2937,medium,0.2948,0.5782,0.737,0.5331,0.459,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:53Z
synthetic-user-v1-000055,History Collector,,0.0,0.5401,0.7605,0.4366,0.8709,0.4365,0.3219,0.1471,0.0967,0.6803,19.0707,high,0.3959,0.2777,0.3626,0.5555,0.6697,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:54Z
synthetic-user-v1-000056,Nature Explorer,Thrill Seeker,0.379,0.9335,0.4641,0.5654,0.2855,0.2039,0.8775,0.4493,0.1765,0.5553,15.9984,high,0.7678,0.5675,0.675,0.112,0.9642,heavy,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:55Z
synthetic-user-v1-000057,Fantasy Lover,,0.0,0.2747,0.4437,0.768,0.4887,0.2177,0.1971,0.7111,0.0979,0.4823,14.1431,medium,0.4533,0.4088,1.0,0.2106,0.2772,casual,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:56Z
synthetic-user-v1-000058,Power Seeker,,0.0,0.7009,0.6017,0.6995,0.6401,0.6133,0.3124,0.5607,0.3314,0.794,17.5356,high,0.6316,0.304,0.5479,0.8609,0.3628,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:57Z
synthetic-user-v1-000059,Eclectic Browser,,0.0,0.5045,0.6627,0.6868,0.6001,0.6687,0.6457,0.4349,0.6972,0.5735,21.0068,ultra_high,0.6027,0.3423,0.7469,0.5993,0.7462,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:58Z
synthetic-user-v1-000060,Nature Explorer,,0.0,0.2727,0.2426,0.6211,0.8616,0.336,0.4629,0.2857,0.3824,0.6457,15.8309,high,0.8146,0.1732,0.5005,0.4256,0.6557,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:59Z
synthetic-user-v1-000061,Nature Explorer,,0.0,0.1596,0.5192,0.5817,0.2109,0.1722,1.0,0.2048,0.305,0.4409,12.1152,medium,0.6014,0.2495,1.0,0.3374,0.284,casual,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:00Z
synthetic-user-v1-000062,Space Enthusiast,,0.0,0.4271,0.3362,0.8961,0.1791,0.9806,0.5033,0.2434,0.6719,0.5692,22.0632,ultra_high,0.3127,0.7568,0.3832,0.5229,0.5974,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:01Z
synthetic-user-v1-000063,Nature Explorer,,0.0,0.3563,0.5746,0.8755,0.8969,0.271,0.7454,0.1449,0.6072,0.2539,11.5491,medium,0.9425,0.1676,0.9183,0.6427,0.4881,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:02Z
synthetic-user-v1-000064,History Collector,,0.0,0.3533,0.6423,0.2787,1.0,0.3703,0.7737,0.3226,0.2744,0.3428,15.7903,high,0.7881,0.6525,0.1279,0.0478,0.2056,casual,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:03Z
synthetic-user-v1-000065,Space Enthusiast,Tech Futurist,0.2063,0.569,0.5394,0.864,0.3903,0.8456,0.6583,0.1266,0.9271,0.8776,17.5824,high,0.3521,0.6594,0.7136,0.3161,0.5643,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:04Z
synthetic-user-v1-000066,Luxury Collector,,0.0,0.53,0.8315,0.6709,0.7247,0.4032,0.2524,0.6981,0.3383,0.3941,15.0643,high,0.6107,0.8466,0.22,0.289,0.2385,casual,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:05Z
synthetic-user-v1-000067,Space Enthusiast,,0.0,0.4611,0.6863,0.7863,0.6211,0.5994,0.6352,0.6107,0.7447,0.568,22.0129,ultra_high,0.2537,0.9099,0.5787,0.7968,0.4917,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:06Z
synthetic-user-v1-000068,Curious Generalist,Nature Explorer,0.3911,0.403,0.7907,0.7931,0.3565,0.2057,0.7342,0.7204,0.4019,0.7281,14.3046,medium,0.542,0.4171,1.0,0.6161,0.6358,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:07Z
synthetic-user-v1-000069,Eclectic Browser,Tech Futurist,0.2105,0.3414,0.6486,0.9321,0.6148,0.8274,0.5198,0.7055,0.4627,0.8862,12.5553,medium,0.4779,0.6344,0.7844,0.3142,0.5411,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:08Z
synthetic-user-v1-000070,Curious Generalist,Tech Futurist,0.307,0.2165,0.4822,0.2894,0.5527,0.576,0.5329,0.4092,0.9567,0.3055,11.7008,medium,0.9981,0.3714,0.9993,0.2966,0.6769,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:09Z
synthetic-user-v1-000071,Curious Generalist,Space Enthusiast,0.3857,0.4103,0.6931,0.5355,0.3147,0.6399,0.4634,0.3206,0.6232,0.6072,11.9932,medium,0.2773,0.5441,0.6403,0.393,0.5192,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:10Z
synthetic-user-v1-000072,Space Enthusiast,,0.0,0.6142,0.6369,0.926,0.275,0.5351,0.3718,0.4126,0.8018,0.6218,23.8954,ultra_high,0.4405,0.5717,0.4743,0.5954,0.5465,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:11Z
synthetic-user-v1-000073,Tech Futurist,Fantasy Lover,0.2604,0.4941,0.5509,0.6023,0.1817,0.8088,0.3462,0.4654,0.5838,0.3107,12.8991,medium,0.3329,0.9066,0.9096,0.4529,0.5753,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:12Z
synthetic-user-v1-000074,Eclectic Browser,History Collector,0.2956,0.733,0.0925,0.7807,0.4237,0.6725,0.7792,0.3947,0.5543,0.2809,15.3373,high,0.1844,0.3006,0.6022,0.5409,0.3889,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:13Z
synthetic-user-v1-000075,Tech Futurist,,0.0,0.5477,0.5412,0.9141,0.0459,0.9288,0.4896,0.5607,0.7399,0.4143,14.619,medium,0.2746,0.7673,0.524,0.63,0.577,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:14Z
synthetic-user-v1-000076,Luxury Collector,,0.0,0.3492,0.6816,0.5,0.5359,0.3585,0.5415,0.4967,0.4922,0.6221,19.3238,high,0.4873,0.5061,0.6945,0.4967,0.5537,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:15Z
synthetic-user-v1-000077,Fantasy Lover,,0.0,0.4204,0.583,0.7568,0.5581,0.187,0.1591,1.0,0.285,0.8154,9.9348,low,0.358,0.9266,0.8844,0.6453,0.682,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:16Z
synthetic-user-v1-000078,Luxury Collector,,0.0,0.2594,1.0,0.9211,0.5346,0.532,0.7209,0.4395,0.3972,0.177,11.8479,medium,0.3951,0.8007,0.3655,0.5604,0.5361,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:17Z
synthetic-user-v1-000079,Curious Generalist,Tech Futurist,0.3875,0.48,0.472,0.7313,0.2988,0.689,0.1106,0.5756,0.4868,0.6124,14.9644,medium,0.3793,0.832,0.759,0.3605,0.3207,casual,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:18Z
synthetic-user-v1-000080,Luxury Collector,Curious Generalist,0.228,0.4284,0.9092,0.5843,0.7631,0.384,0.2017,0.358,0.4518,0.4948,22.7313,ultra_high,0.3655,0.6952,0.3039,0.5919,0.102,casual,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:19Z
synthetic-user-v1-000081,Power Seeker,,0.0,0.6608,0.5211,0.5518,0.2962,0.6907,0.4627,0.4526,0.3172,0.6359,17.7909,high,0.3874,0.7703,0.6346,0.7281,0.5226,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:20Z
synthetic-user-v1-000082,Tech Futurist,,0.0,0.5942,0.6899,0.8905,0.5044,0.9285,0.1298,0.4985,0.3762,0.7192,12.4116,medium,0.316,0.6638,0.3099,0.4465,0.684,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:21Z
synthetic-user-v1-000083,Eclectic Browser,Power Seeker,0.3347,0.3504,0.3441,0.7826,0.7308,0.5237,0.3178,0.2631,0.5549,0.4739,21.5267,ultra_high,0.503,0.5674,0.7988,0.8084,1.0,heavy,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:22Z
synthetic-user-v1-000084,Luxury Collector,History Collector,0.2793,0.3363,0.8264,0.7039,0.6412,0.6163,0.3607,0.3416,0.1303,0.8562,11.2168,medium,0.5045,0.4197,0.2882,0.4619,0.5388,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:23Z
synthetic-user-v1-000085,Eclectic Browser,,0.0,0.8866,0.5906,0.6984,0.4511,0.3599,0.5003,0.5749,0.4185,0.6084,17.0463,high,0.3994,0.0702,0.685,0.4025,0.5376,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:24Z
synthetic-user-v1-000086,Power Seeker,,0.0,0.9016,0.5766,0.3811,0.2279,0.6133,0.3674,0.6204,0.3423,0.8506,25.5169,absurd,0.5232,0.6218,0.4676,0.6534,0.2989,casual,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:25Z
synthetic-user-v1-000087,Luxury Collector,,0.0,0.3373,0.8754,0.7267,0.7717,0.5633,0.4579,0.5145,0.5532,0.8318,18.085,high,0.3907,0.7027,0.313,0.1383,0.8338,heavy,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:26Z
synthetic-user-v1-000088,Space Enthusiast,Nature Explorer,0.3071,0.4546,0.4615,0.8733,0.3561,0.3825,0.7102,0.2975,0.8731,0.4594,20.7366,ultra_high,0.4173,0.7484,0.6403,0.3721,0.8199,heavy,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:27Z
synthetic-user-v1-000089,Tech Futurist,,0.0,0.3645,0.6104,0.706,0.2222,0.9009,0.2421,0.6315,0.4579,0.7999,13.6049,medium,0.6406,0.4269,0.4276,0.8654,0.4733,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:28Z
synthetic-user-v1-000090,Curious Generalist,,0.0,0.6535,0.3148,1.0,0.855,0.4644,0.631,0.4538,0.6799,0.3972,12.3212,medium,0.8064,0.4246,0.6273,0.7258,0.4917,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:29Z
synthetic-user-v1-000091,Fantasy Lover,,0.0,0.6839,0.8417,0.8285,0.4907,0.533,0.5935,1.0,0.0,0.6172,15.6815,high,0.2996,0.4206,0.4587,0.3254,0.21,casual,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:30Z
synthetic-user-v1-000092,Eclectic Browser,,0.0,0.755,0.4759,0.64,0.4758,0.4126,0.6651,0.667,0.7437,0.6703,11.9529,medium,0.6257,0.449,0.6104,0.3188,0.5011,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:31Z
synthetic-user-v1-000093,History Collector,,0.0,0.4078,0.8811,0.4473,0.9523,0.2058,0.4196,0.3986,0.1074,0.5514,17.672,high,0.8446,0.452,0.2782,0.1645,0.4202,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:32Z
synthetic-user-v1-000094,Tech Futurist,Nature Explorer,0.2889,0.571,0.5275,0.6383,0.5325,0.7881,0.288,0.3039,0.4906,0.6415,9.1882,low,0.5714,0.259,0.8255,0.546,0.5389,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:01:33Z
